uniprot_id,sequence_length,valid_structure_len,true_topt,pred_topt,abs_error,Avg_pLDDT,top_ratio,top_k,top_residues,importance_max,importance_entropy
A5DNB9,1599,798,30.0,29.78125,0.21875,0.24,0.1,80,H266;S560;H339;H610;T521;N792;S569;Q229;K782;K720,0.9816494584083557,0.12177842855453491
O66680,634,634,65.0,54.75,10.25,0.86,0.1,64,K91;T426;G296;K258;H48;G343;A218;H92;E11;K174,0.450958251953125,1.5678915977478027
O66932,692,692,100.0,73.4375,26.5625,0.92,0.1,70,L635;E527;E286;E604;N259;F272;R439;E446;E313;A628,0.27319127321243286,2.2281785011291504
Q54BM7,1053,798,37.0,28.125,8.875,0.28,0.1,80,S331;N457;K554;K480;K759;L403;K736;N654;K119;S207,0.8157545328140259,0.7294908761978149
D3YBH2,603,603,36.5,35.25,1.25,0.86,0.1,61,E591;R586;K163;F326;H84;H157;H181;H230;G450;K436,0.5059700608253479,1.2732903957366943
Q6PLI2,283,283,40.0,34.96875,5.03125,0.88,0.1,29,M263;A160;Y164;F34;H204;L41;S214;Y93;N228;V10,0.5649803280830383,1.1078615188598633
Q60FX6,327,327,60.0,41.4375,18.5625,0.91,0.1,33,P14;H179;A306;I52;D294;L275;Q111;G152;D231;I215,0.474080890417099,1.2681801319122314
Q8RPW6,250,250,28.0,36.71875,8.71875,0.9,0.1,25,I151;K196;N60;I237;T180;K221;R134;F232;S102;K218,0.967025876045227,0.21733534336090088
G0L2Y1,352,352,30.0,32.71875,2.71875,0.78,0.1,36,H78;K171;A325;K62;H245;E223;G117;K110;H154;N156,0.8236761689186096,0.7589744329452515
Q9HUU7,172,172,37.0,32.8125,4.1875,0.94,0.1,18,S142;E109;G132;F139;V84;L56;S125;E124;K97;G63,0.4547661542892456,1.174136996269226
A9UVU0,378,378,37.0,33.09375,3.90625,0.81,0.1,38,H170;H117;R242;H96;T84;N284;H42;H274;H134;G354,0.8545620441436768,0.5427548885345459
A0A141BGH5,262,262,32.5,35.6875,3.1875,0.95,0.1,27,N235;A260;R181;A166;S186;T133;P238;E29;R52;F82,0.8075513243675232,0.7184320688247681
Q8GQE7,539,539,70.0,30.171875,39.828125,0.86,0.1,54,R450;L85;M483;K537;T435;D439;T478;W104;R394;D371,0.9844853281974792,0.10697557032108307
Q5ECC3,494,494,30.0,28.203125,1.796875,0.93,0.1,50,H5;P256;H177;K79;M161;R362;N188;K470;G195;W487,0.9631826281547546,0.22654274106025696
M1GRN3,450,450,45.0,42.8125,2.1875,0.91,0.1,45,H63;N25;G293;K378;K124;D250;H395;T445;K261;H243,0.7878093123435974,0.8489296436309814
Q4JB88,155,155,70.0,70.1875,0.1875,0.94,0.1,16,N26;I22;Y82;E123;D42;Y136;K151;D19;K89;S53,0.5184601545333862,1.2248787879943848
