Filename,Avg_pLDDT,Rating
P48839.pdb,0.28,Poor (较差/无序)
A1E2A6.pdb,0.28,Poor (较差/无序)
Q4W8F0.pdb,0.28,Poor (较差/无序)
A5A6R7.pdb,0.28,Poor (较差/无序)
A0A059XJH4.pdb,0.27,Poor (较差/无序)
A2TGZ5.pdb,0.27,Poor (较差/无序)
Q21HC5.pdb,0.27,Poor (较差/无序)
P48840.pdb,0.27,Poor (较差/无序)
G3CHF0.pdb,0.27,Excellent (极好)
A1E2B6.pdb,0.91,Excellent (极好)
Q8GB62.pdb,0.89,Good (良好)
A4UMV9.pdb,0.89,Good (良好)
A0A0A0UT35.pdb,0.89,Good (良好)
A8W969.pdb,0.89,Good (良好)
Q6F4N4.pdb,0.87,Good (良好)
D5G3B2.pdb,0.87,Good (良好)
G0L322.pdb,0.86,Good (良好)
Q76DQ8.pdb,0.86,Good (良好)
D7NPL0.pdb,0.85,Good (良好)
U3PAU3.pdb,0.84,Good (良好)
T1WFD0.pdb,0.84,Good (良好)
Q9RGX8.pdb,0.83,Good (良好)
A0A0D5CVE5.pdb,0.82,Good (良好)
P13734.pdb,0.81,Good (良好)
P07883.pdb,0.81,Good (良好)
U3GSN9.pdb,0.81,Good (良好)
Q0KKW9.pdb,0.75,Good (良好)
A1A3Y9.pdb,0.75,Good (良好)
K7WTF8.pdb,0.75,Good (良好)
G0ZDR5.pdb,0.72,Good (良好)
D0PR18.pdb,0.71,Good (良好)
C9W1W7.pdb,0.33,Poor (较差/无序)
