Filename,Avg_pLDDT,Rating
A0A545BBR2.pdb,0.99,Excellent (极好)
Q4AE87.pdb,0.99,Excellent (极好)
Q0KEY8.pdb,0.99,Excellent (极好)
Q7WY77.pdb,0.98,Excellent (极好)
Q9A1H8.pdb,0.98,Excellent (极好)
P00943.pdb,0.98,Excellent (极好)
P77834.pdb,0.98,Excellent (极好)
A0A1E1FFN6.pdb,0.98,Excellent (极好)
A5F5Y7.pdb,0.98,Excellent (极好)
C0LSK9.pdb,0.98,Excellent (极好)
Q0K080.pdb,0.98,Excellent (极好)
Q8NRR8.pdb,0.98,Excellent (极好)
Q92Y75.pdb,0.98,Excellent (极好)
Q5FTU6.pdb,0.98,Excellent (极好)
P75876.pdb,0.98,Excellent (极好)
P00939.pdb,0.98,Excellent (极好)
Q07412.pdb,0.98,Excellent (极好)
P73335.pdb,0.98,Excellent (极好)
P12282.pdb,0.98,Excellent (极好)
Q5JIA9.pdb,0.98,Excellent (极好)
O35000.pdb,0.98,Excellent (极好)
Q608T2.pdb,0.98,Excellent (极好)
A0A150QXP6.pdb,0.98,Excellent (极好)
Q8DRB3.pdb,0.98,Excellent (极好)
Q2FYG6.pdb,0.98,Excellent (极好)
Q9YG89.pdb,0.98,Excellent (极好)
P00942.pdb,0.98,Excellent (极好)
P9WG43.pdb,0.98,Excellent (极好)
P60174.pdb,0.98,Excellent (极好)
P44862.pdb,0.98,Excellent (极好)
Q66CJ2.pdb,0.98,Excellent (极好)
E1V4Y1.pdb,0.98,Excellent (极好)
D4GYH5.pdb,0.98,Excellent (极好)
J9Q529.pdb,0.98,Excellent (极好)
P23883.pdb,0.98,Excellent (极好)
Q8NMB0.pdb,0.98,Excellent (极好)
P12653.pdb,0.98,Excellent (极好)
I3E3X0.pdb,0.98,Excellent (极好)
Q8KY51.pdb,0.98,Excellent (极好)
A0QY48.pdb,0.98,Excellent (极好)
Q07296.pdb,0.98,Excellent (极好)
A0A0E3JXD9.pdb,0.98,Excellent (极好)
Q9AGZ4.pdb,0.98,Excellent (极好)
P36186.pdb,0.98,Excellent (极好)
p37564.pdb,0.98,Excellent (极好)
B1XMM6.pdb,0.98,Excellent (极好)
Q5LI17.pdb,0.98,Excellent (极好)
P12047.pdb,0.98,Excellent (极好)
P71018.pdb,0.98,Excellent (极好)
Q9HH76.pdb,0.98,Excellent (极好)
Q6KZI8.pdb,0.98,Excellent (极好)
Q9HQQ9.pdb,0.98,Excellent (极好)
Q48296.pdb,0.98,Excellent (极好)
P95001.pdb,0.98,Excellent (极好)
Q31QF3.pdb,0.98,Excellent (极好)
A2BLE9.pdb,0.98,Excellent (极好)
A0A127F985.pdb,0.98,Excellent (极好)
B0NAQ4.pdb,0.98,Excellent (极好)
A0QYR0.pdb,0.98,Excellent (极好)
Q01655.pdb,0.98,Excellent (极好)
Q9Y8Y1.pdb,0.98,Excellent (极好)
P0C6E0.pdb,0.98,Excellent (极好)
Q2HQR7.pdb,0.98,Excellent (极好)
B8YAC8.pdb,0.98,Excellent (极好)
O02611.pdb,0.98,Excellent (极好)
Q48949.pdb,0.98,Excellent (极好)
Q8EZA6.pdb,0.98,Excellent (极好)
P04789.pdb,0.98,Excellent (极好)
