Filename,Avg_pLDDT,Rating
O93785.1.pdb,0.96,Excellent (极好)
O93785.4.pdb,0.96,Excellent (极好)
O93785.5.pdb,0.96,Excellent (极好)
O93785.2.pdb,0.96,Excellent (极好)
O93785.3.pdb,0.95,Excellent (极好)
A0AAI7ZJW1.4.pdb,0.88,Good (良好)
A0AAI7ZJW1.1.pdb,0.88,Good (良好)
A0AAI7ZJW1.3.pdb,0.88,Good (良好)
A0AAI7ZJW1.2.pdb,0.88,Good (良好)
P19148.4.pdb,0.84,Good (良好)
P19148.3.pdb,0.84,Good (良好)
P45687.2.pdb,0.83,Good (良好)
P45687.1.pdb,0.83,Good (良好)
P45687.4.pdb,0.83,Good (良好)
P19148.1.pdb,0.83,Good (良好)
P45687.3.pdb,0.83,Good (良好)
P19148.2.pdb,0.83,Good (良好)
