Filename,Avg_pLDDT,Rating
15245.pdb,0.99,Excellent (极好)
10626.pdb,0.99,Excellent (极好)
3936.pdb,0.99,Excellent (极好)
7663.pdb,0.99,Excellent (极好)
25308.pdb,0.99,Excellent (极好)
9747.pdb,0.98,Excellent (极好)
26704.pdb,0.98,Excellent (极好)
24477.pdb,0.98,Excellent (极好)
1423.pdb,0.98,Excellent (极好)
31022.pdb,0.98,Excellent (极好)
27417.pdb,0.98,Excellent (极好)
6035.pdb,0.98,Excellent (极好)
13869.pdb,0.98,Excellent (极好)
21943.pdb,0.98,Excellent (极好)
20971.pdb,0.98,Excellent (极好)
19087.pdb,0.98,Excellent (极好)
3307.pdb,0.98,Excellent (极好)
15928.pdb,0.98,Excellent (极好)
13227.pdb,0.98,Excellent (极好)
27473.pdb,0.98,Excellent (极好)
3090.pdb,0.98,Excellent (极好)
22608.pdb,0.98,Excellent (极好)
14338.pdb,0.98,Excellent (极好)
26050.pdb,0.98,Excellent (极好)
11493.pdb,0.98,Excellent (极好)
27184.pdb,0.98,Excellent (极好)
15053.pdb,0.98,Excellent (极好)
12581.pdb,0.98,Excellent (极好)
22477.pdb,0.98,Excellent (极好)
11287.pdb,0.98,Excellent (极好)
14220.pdb,0.98,Excellent (极好)
30267.pdb,0.98,Excellent (极好)
10829.pdb,0.98,Excellent (极好)
23222.pdb,0.98,Excellent (极好)
18245.pdb,0.98,Excellent (极好)
6183.pdb,0.98,Excellent (极好)
5659.pdb,0.98,Excellent (极好)
12544.pdb,0.98,Excellent (极好)
21733.pdb,0.98,Excellent (极好)
2026.pdb,0.98,Excellent (极好)
14276.pdb,0.98,Excellent (极好)
16463.pdb,0.98,Excellent (极好)
9251.pdb,0.98,Excellent (极好)
30172.pdb,0.98,Excellent (极好)
7799.pdb,0.98,Excellent (极好)
28658.pdb,0.98,Excellent (极好)
14456.pdb,0.98,Excellent (极好)
11158.pdb,0.98,Excellent (极好)
21066.pdb,0.98,Excellent (极好)
18082.pdb,0.98,Excellent (极好)
23105.pdb,0.98,Excellent (极好)
13225.pdb,0.98,Excellent (极好)
27188.pdb,0.98,Excellent (极好)
29089.pdb,0.98,Excellent (极好)
7492.pdb,0.98,Excellent (极好)
10356.pdb,0.98,Excellent (极好)
12124.pdb,0.98,Excellent (极好)
14217.pdb,0.98,Excellent (极好)
28991.pdb,0.98,Excellent (极好)
7690.pdb,0.98,Excellent (极好)
8433.pdb,0.98,Excellent (极好)
26462.pdb,0.98,Excellent (极好)
23358.pdb,0.98,Excellent (极好)
20551.pdb,0.98,Excellent (极好)
14441.pdb,0.98,Excellent (极好)
25359.pdb,0.98,Excellent (极好)
12492.pdb,0.98,Excellent (极好)
20696.pdb,0.98,Excellent (极好)
29079.pdb,0.98,Excellent (极好)
21474.pdb,0.98,Excellent (极好)
28146.pdb,0.98,Excellent (极好)
12402.pdb,0.98,Excellent (极好)
5273.pdb,0.98,Excellent (极好)
28173.pdb,0.98,Excellent (极好)
27284.pdb,0.98,Excellent (极好)
26419.pdb,0.98,Excellent (极好)
13151.pdb,0.98,Excellent (极好)
4179.pdb,0.98,Excellent (极好)
14841.pdb,0.98,Excellent (极好)
19157.pdb,0.98,Excellent (极好)
28914.pdb,0.98,Excellent (极好)
11467.pdb,0.98,Excellent (极好)
25015.pdb,0.98,Excellent (极好)
7726.pdb,0.98,Excellent (极好)
7779.pdb,0.98,Excellent (极好)
13727.pdb,0.98,Excellent (极好)
20448.pdb,0.98,Excellent (极好)
14253.pdb,0.98,Excellent (极好)
13197.pdb,0.98,Excellent (极好)
15948.pdb,0.98,Excellent (极好)
14416.pdb,0.98,Excellent (极好)
12881.pdb,0.98,Excellent (极好)
21036.pdb,0.98,Excellent (极好)
14888.pdb,0.98,Excellent (极好)
12377.pdb,0.98,Excellent (极好)
4481.pdb,0.98,Excellent (极好)
21702.pdb,0.98,Excellent (极好)
19930.pdb,0.98,Excellent (极好)
18210.pdb,0.98,Excellent (极好)
19304.pdb,0.98,Excellent (极好)
27326.pdb,0.98,Excellent (极好)
1141.pdb,0.97,Excellent (极好)
27025.pdb,0.97,Excellent (极好)
11301.pdb,0.97,Excellent (极好)
11244.pdb,0.97,Excellent (极好)
21741.pdb,0.97,Excellent (极好)
12489.pdb,0.97,Excellent (极好)
14019.pdb,0.97,Excellent (极好)
12359.pdb,0.97,Excellent (极好)
27203.pdb,0.97,Excellent (极好)
9398.pdb,0.97,Excellent (极好)
14958.pdb,0.97,Excellent (极好)
27108.pdb,0.97,Excellent (极好)
29074.pdb,0.97,Excellent (极好)
17324.pdb,0.97,Excellent (极好)
26140.pdb,0.97,Excellent (极好)
28482.pdb,0.97,Excellent (极好)
14299.pdb,0.97,Excellent (极好)
26280.pdb,0.97,Excellent (极好)
31243.pdb,0.97,Excellent (极好)
20611.pdb,0.97,Excellent (极好)
4501.pdb,0.97,Excellent (极好)
26412.pdb,0.97,Excellent (极好)
12420.pdb,0.97,Excellent (极好)
9131.pdb,0.97,Excellent (极好)
23226.pdb,0.97,Excellent (极好)
23885.pdb,0.97,Excellent (极好)
1782.pdb,0.97,Excellent (极好)
25395.pdb,0.97,Excellent (极好)
3237.pdb,0.97,Excellent (极好)
