Filename,Avg_pLDDT,Rating
Q9Y948.pdb,0.99,Excellent (极好)
Q5P171.pdb,0.99,Excellent (极好)
Q8EQR8.pdb,0.98,Excellent (极好)
Q6I7B6.pdb,0.98,Excellent (极好)
A0JC04.pdb,0.98,Excellent (极好)
Q01655.pdb,0.98,Excellent (极好)
Q8DRB3.pdb,0.98,Excellent (极好)
P9WNP7.pdb,0.98,Excellent (极好)
A7EQQ8.pdb,0.98,Excellent (极好)
P12282.pdb,0.98,Excellent (极好)
Q9HH76.pdb,0.98,Excellent (极好)
P54495.pdb,0.98,Excellent (极好)
A5U5Q2.pdb,0.98,Excellent (极好)
E1V4Y1.pdb,0.98,Excellent (极好)
p37564.pdb,0.98,Excellent (极好)
E8MF12.pdb,0.98,Excellent (极好)
Q8EZA6.pdb,0.98,Excellent (极好)
A0A1D8FJM6.pdb,0.98,Excellent (极好)
A5HIF6.pdb,0.98,Excellent (极好)
Q9Y8Y1.pdb,0.98,Excellent (极好)
A2BLE9.pdb,0.98,Excellent (极好)
Q84F26.pdb,0.98,Excellent (极好)
A0QYR0.pdb,0.98,Excellent (极好)
V5YW53.pdb,0.98,Excellent (极好)
A4IP64.pdb,0.98,Excellent (极好)
Q5V9S1.pdb,0.98,Excellent (极好)
P54471.pdb,0.98,Excellent (极好)
P13956.pdb,0.98,Excellent (极好)
A5N930.pdb,0.98,Excellent (极好)
Q5LI17.pdb,0.98,Excellent (极好)
P80092.pdb,0.98,Excellent (极好)
P95001.pdb,0.98,Excellent (极好)
Q8NRR8.pdb,0.98,Excellent (极好)
Q2HQR7.pdb,0.98,Excellent (极好)
C7FDI4.pdb,0.98,Excellent (极好)
Q6KZI8.pdb,0.98,Excellent (极好)
Q5JDG9.pdb,0.98,Excellent (极好)
P12047.pdb,0.98,Excellent (极好)
P44862.pdb,0.98,Excellent (极好)
Q9YG89.pdb,0.98,Excellent (极好)
Q5FTU6.pdb,0.98,Excellent (极好)
Q8NMB0.pdb,0.98,Excellent (极好)
Q46A53.pdb,0.98,Excellent (极好)
Q9AGZ4.pdb,0.98,Excellent (极好)
P65907.pdb,0.98,Excellent (极好)
Q6QHI7.pdb,0.98,Excellent (极好)
Q9RBF6.pdb,0.98,Excellent (极好)
Q07296.pdb,0.98,Excellent (极好)
C4M2I2.pdb,0.98,Excellent (极好)
Q3M723.pdb,0.98,Excellent (极好)
Q2HQS1.pdb,0.97,Excellent (极好)
